wl,n
0.1879,1.07
0.1916,1.10
0.1953,1.12
0.1993,1.14
0.2033,1.15
0.2073,1.18
0.2119,1.20
0.2164,1.22
0.2214,1.25
0.2262,1.26
0.2313,1.28
0.2371,1.28
0.2426,1.30
0.2490,1.31
0.2551,1.33
0.2616,1.35
0.2689,1.38
0.2761,1.41
0.2844,1.41
0.2924,1.39
0.3009,1.34
0.3107,1.13
0.3204,0.81
0.3315,0.17
0.3425,0.14
0.3542,0.10
0.3679,0.07
0.3815,0.05
0.3974,0.05
0.4133,0.05
0.4305,0.04
0.4509,0.04
0.4714,0.05
0.4959,0.05
0.5209,0.05
0.5486,0.06
0.5821,0.05
0.6168,0.06
0.6595,0.05
0.7045,0.04
0.7560,0.03
0.8211,0.04
0.8920,0.04
0.9840,0.04
1.0880,0.04
1.2160,0.09
1.3930,0.13
1.6100,0.15
1.9370,0.24
